SerialNo,ReceivedDateTime,SpindleSpeed_max,ServoCurrent_X_max,ServoCurrent_Z1_max,ServoCurrent_Z2_max,ServoCurrent_Z3_max,ServoLoad_X_max,ServoLoad_Z1_max,ServoLoad_Z2_max,ServoLoad_Z3_max,SpindleSpeed_mean,ServoCurrent_X_mean,ServoCurrent_Z1_mean,ServoCurrent_Z2_mean,ServoCurrent_Z3_mean,ServoLoad_X_mean,ServoLoad_Z1_mean,ServoLoad_Z2_mean,ServoLoad_Z3_mean,SpindleSpeed_min,ServoCurrent_X_min,ServoCurrent_Z1_min,ServoCurrent_Z2_min,ServoCurrent_Z3_min,ServoLoad_X_min,ServoLoad_Z1_min,ServoLoad_Z2_min,ServoLoad_Z3_min,SpindleSpeed_std,ServoCurrent_X_std,ServoCurrent_Z1_std,ServoCurrent_Z2_std,ServoCurrent_Z3_std,ServoLoad_X_std,ServoLoad_Z1_std,ServoLoad_Z2_std,ServoLoad_Z3_std,SpindleLoad_max,SpindleLoad_mean,SpindleLoad_min,SpindleLoad_std,passorfail
20220823-0000233,10:51.4,2227.05,473.69,2929,30.3,447.43,176.75,172.71,30.3,415.11,1256.535541,133.7567568,261.9858108,30.3,45.90040541,18.69864865,15.77783784,30.3,45.46364865,0,2.02,14.14,30.3,40.4,0,0,30.3,40.4,848.3203977,99.57217478,410.9196553,0,46.99983481,28.16402612,24.43524903,0,43.267838,31501.82122,3540.234869,0,4993.598265,0
20220823-0000234,12:03.9,2228.06,1547.32,1200.89,30.3,4302.6,181.8,158.57,30.3,446.42,1247.663919,168.6427027,172.9966216,30.3,216.7814865,21.11445946,13.37567568,30.3,61.52810811,0,0,13.13,30.3,40.4,0,0,30.3,40.4,847.6553941,245.9321971,150.3895096,0,829.4765808,31.54452646,20.10248511,0,88.43169997,31398.78506,3524.597988,0,5108.718108,0
20220823-0000235,12:04.9,2232.1,1543.28,2543.18,30.3,4644.99,158.57,130.29,30.3,4164.23,1272.039658,161.7383562,229.6850685,30.3,100.7855479,18.40136986,13.85636986,30.3,76.73232877,0,0,9.09,30.3,40.4,0,0,30.3,40.4,848.9992879,182.7710476,346.9842622,0,512.3033025,20.7838365,17.26604818,0,344.0270848,31855.46262,3566.128627,0,5063.838658,0
20220823-0000236,13:17.9,2224.02,922.13,2981.52,30.3,4176.35,158.57,88.88,30.3,415.11,1244.517905,143.4268243,240.1275,30.3,74.18040541,17.9547973,13.05493243,30.3,47.98864865,0,1.01,6.06,30.3,40.4,0,0,30.3,40.4,848.1518218,131.5609622,378.8564368,0,341.950259,20.29855874,14.76220805,0,52.71202804,31774.28488,3541.085873,0,5157.859566,0
20220823-0000237,14:31.9,2226.04,904.96,2981.52,30.3,4641.96,142.41,148.47,30.3,4170.29,1278.085822,143.2816438,230.5705479,30.3,136.4468493,17.47438356,15.21917808,30.3,73.97212329,0,0,4.04,30.3,40.4,0,0,30.3,40.4,844.6383569,131.7031958,376.4769004,0,622.7183381,20.8261267,20.55095452,0,343.1409363,31871.07116,3570.361204,0,5034.606647,0
20220823-0000238,15:44.9,2228.06,1219.07,1987.68,30.3,44.44,83.83,203.01,30.3,4180.39,1249.547432,149.9781757,198.3489865,30.3,40.44777027,16.56945946,16.1327027,30.3,104.3097973,0,1.01,4.04,30.3,40.4,0,0,30.3,40.4,861.2113007,155.3554223,257.215254,0,0.412368173,14.58403206,26.34973967,0,479.7670691,32068.98369,3565.334254,0,5087.815192,0
20220823-0000239,16:57.9,2225.03,1219.07,3110.8,30.3,4581.36,165.64,96.96,30.3,470.66,1275.484726,143.925,278.5939726,30.3,137.180137,17.07315068,14.03623288,30.3,48.61835616,0,0,1.01,30.3,40.4,0,0,30.3,40.4,843.2371096,154.8774048,466.9648548,0,608.8787449,20.50318511,16.156739,0,56.83604201,32068.77866,3545.900448,0,5012.558597,0
20220823-0000240,18:11.9,2232.1,1576.61,2616.91,30.3,4629.84,148.47,206.04,30.3,4163.22,1274.453973,159.8221233,206.4619863,30.3,165.5569863,17.91712329,15.34369863,30.3,76.86376712,0,0,1.01,30.3,40.4,0,0,30.3,40.4,847.6161135,210.0862409,328.535921,0,729.2224717,17.58936041,24.40669789,0,344.0929273,31855.74744,3513.108548,0,5017.042586,0
20220823-0000241,19:24.9,2226.04,1021.11,1222.1,30.3,4318.76,180.79,101,30.3,473.69,1127.332439,146.1297561,158.8779268,30.3,148.2359756,17.09609756,11.11,30.3,55.13121951,0,0,7.07,30.3,40.4,0,0,30.3,40.4,894.0455234,133.9241903,159.887009,0,650.4782678,22.60364824,14.58640579,0,75.72370778,31931.92366,3554.045827,0,5121.473977,0
20220823-0000243,20:38.9,2226.04,1506.92,2951.22,30.3,4318.76,180.79,99.99,30.3,435.31,1129.47561,155.5276829,207.1731707,30.3,153.2982927,17.52719512,13.21621951,30.3,45.21597561,0,0,7.07,30.3,40.4,0,0,30.3,40.4,901.1949502,199.0443208,373.5163133,0,651.2345043,23.02553842,18.34717524,0,43.34735243,32002.51256,3543.105167,0,5019.618533,0
20220823-0000244,21:59.9,2227.05,939.3,2288.66,30.3,4180.39,105.04,176.75,30.3,4154.13,1267.432397,146.9134932,187.5763699,30.3,77.48636986,15.08773973,16.11849315,30.3,76.46253425,0,1.01,3.03,30.3,40.4,0,0,30.3,40.4,840.4372537,143.6174963,220.7448697,0,346.0257443,13.60329408,24.35468122,0,342.9986633,32090.57244,3525.782888,0,5016.281055,0
20220823-0000245,23:12.9,2227.05,1565.5,1988.69,30.3,4458.14,143.42,113.12,30.3,4171.3,1286.829932,157.8436301,207.6103425,30.3,160.5623288,18.23534247,13.24760274,30.3,102.480411,0,2.02,9.09,30.3,40.4,0,0,30.3,40.4,842.592698,197.8263975,256.1025104,0,698.3607367,22.10746354,15.26992048,0,480.8922911,32002.49741,3530.123036,0,5058.40369,0
20220823-0000246,24:25.9,2227.05,1565.5,2403.8,30.3,4576.31,110.09,172.71,30.3,434.3,1177.859427,151.5192994,197.5933121,30.3,129.2671338,15.92197452,13.30369427,30.3,45.41140127,0,1.01,12.12,30.3,40.4,0,0,30.3,40.4,878.5567735,171.50869,331.7041563,0,598.1450709,14.3282936,20.74400245,0,44.11934783,31621.585,3489.851086,0,4989.246479,0
